Precision,Trials,Simulation Type,Average PI Value,Absolute Error,Average Time (s),25th Percentile (s),Median Time (s),75th Percentile (s)
5,300,Monte Carlo Single-thread with Uniform Sampling,3.08267,5.89260 * 10^-2,0.00001,0.00001,0.00001,0.00002
5,300,Monte Carlo Multi-thread using Pthread with Uniform Sampling,3.12500,1.65927 * 10^-2,0.00046,0.00041,0.00042,0.00044
5,300,Monte Carlo Multi-thread using OpenMP with Uniform Sampling,3.09444,4.71482 * 10^-2,0.00107,0.00001,0.00002,0.00008
5,300,Monte Carlo Multi-thread using Pthread with Stratified Sampling by x-Coordinate,3.08889,5.27038 * 10^-2,0.00166,0.00044,0.00065,0.00065
5,300,Monte Carlo Multi-thread using OpenMP with Stratified Sampling by x-Coordinate,3.13333,8.25932 * 10^-3,0.00732,0.00594,0.00656,0.00802
5,300,Monte Carlo Multi-thread using Pthread with Grid-based Stratified Sampling,3.16389,2.22962 * 10^-2,0.00158,0.00047,0.00047,0.00049
5,300,Monte Carlo Multi-thread using OpenMP with Grid-based Stratified Sampling,3.11389,2.77038 * 10^-2,0.00758,0.00796,0.00800,0.00800
10,30000,Monte Carlo Single-thread with Uniform Sampling,3.1329066667,8.6859869231 * 10^-3,0.0007625914,0.0007452210,0.0007462010,0.0007880520
10,30000,Monte Carlo Multi-thread using Pthread with Uniform Sampling,3.1307466667,1.0845986923 * 10^-2,0.0008301624,0.0006477500,0.0007662920,0.0010836160
10,30000,Monte Carlo Multi-thread using OpenMP with Uniform Sampling,3.1435733333,1.9806797435 * 10^-3,0.0095898400,0.0101332420,0.0102623540,0.0115925840
10,30000,Monte Carlo Multi-thread using Pthread with Stratified Sampling by x-Coordinate,3.1385066667,3.0859869231 * 10^-3,0.0019256110,0.0006435800,0.0006734300,0.0007371410
10,30000,Monte Carlo Multi-thread using OpenMP with Stratified Sampling by x-Coordinate,3.1409066667,6.8598692313 * 10^-4,0.0076179402,0.0079906690,0.0079975800,0.0079995610
10,30000,Monte Carlo Multi-thread using Pthread with Grid-based Stratified Sampling,3.1380800000,3.5126535898 * 10^-3,0.0008516848,0.0004987480,0.0005098380,0.0006402290
