Precision,Trials,Simulation Type,Average PI Value,Absolute Error,Average Time (s),25th Percentile (s),Median Time (s),75th Percentile (s)
16,16777216,Monte Carlo Single-thread with Uniform Sampling,3.1416987895965576,1.0613600676437873 * 10^-4,0.4109354228000000,0.4108117680000000,0.4108508020000000,0.4110286360000000
16,16777216,Monte Carlo Multi-thread using Pthread with Uniform Sampling,3.1416609287261963,6.8275136403050602 * 10^-5,0.0333463804000000,0.0326297210000000,0.0327411510000000,0.0333763910000000
16,16777216,Monte Carlo Multi-thread using OpenMP with Uniform Sampling,3.1417394638061523,1.4681021635910527 * 10^-4,0.0340807224000000,0.0336453440000000,0.0339699890000000,0.0345608380000000
16,16777216,Monte Carlo Multi-thread using Pthread with Stratified Sampling by x-Coordinate,3.1414545536041260,1.3809998566726189 * 10^-4,0.0406339970000000,0.0349787730000000,0.0405394120000000,0.0406525830000000
16,16777216,Monte Carlo Multi-thread using OpenMP with Stratified Sampling by x-Coordinate,3.1413665294647217,2.2612412507155879 * 10^-4,0.0340413558000000,0.0332846090000000,0.0336457850000000,0.0339493480000000
16,16777216,Monte Carlo Multi-thread using Pthread with Grid-based Stratified Sampling,3.1417279720306396,1.3531844084640996 * 10^-4,0.0351310834000000,0.0326878210000000,0.0327682820000000,0.0339979590000000
16,16777216,Monte Carlo Multi-thread using OpenMP with Grid-based Stratified Sampling,3.1415367603302002,5.5893259593043148 * 10^-5,0.0380706264000000,0.0339160370000000,0.0339549480000000,0.0419213410000000
16,67108864,Monte Carlo Single-thread with Uniform Sampling,3.1416927695274353,1.0011593764206428 * 10^-4,1.6430619967999998,1.6425364830000000,1.6429926589999999,1.6440703160000001
16,67108864,Monte Carlo Multi-thread using Pthread with Uniform Sampling,3.1415308475494385,6.1806040354761898 * 10^-5,0.1395383262000000,0.1314989180000000,0.1350024470000000,0.1374474810000000
16,67108864,Monte Carlo Multi-thread using OpenMP with Uniform Sampling,3.1417976975440979,2.0504395430466191 * 10^-4,0.1371133364000000,0.1305474330000000,0.1350740960000000,0.1351929970000000
16,67108864,Monte Carlo Multi-thread using Pthread with Stratified Sampling by x-Coordinate,3.1415300965309143,6.2557058878931810 * 10^-5,0.1343649752000000,0.1318765710000000,0.1318945990000000,0.1322109660000000
16,67108864,Monte Carlo Multi-thread using OpenMP with Stratified Sampling by x-Coordinate,3.1415317654609680,6.0888128825220882 * 10^-5,0.1456993340000000,0.1316895470000000,0.1472105030000000,0.1474414760000000
16,67108864,Monte Carlo Multi-thread using Pthread with Grid-based Stratified Sampling,3.1415483236312866,4.4329958506617366 * 10^-5,0.1344004446000000,0.1302328240000000,0.1346488060000000,0.1382360970000000
16,67108864,Monte Carlo Multi-thread using OpenMP with Grid-based Stratified Sampling,3.1415743947029114,1.8258886881861509 * 10^-5,0.1312220378000000,0.1298617070000000,0.1301051240000000,0.1330430230000000
